subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,268587,2,267049,0,gameplay-adaptive,265049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,271587,2,270049,0,gameplay-adaptive,268049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,274603,2,273065,0,gameplay-adaptive,271065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,277587,2,276049,0,gameplay-adaptive,274049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,280604,2,279066,0,gameplay-adaptive,277066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,283604,2,282066,0,gameplay-adaptive,280066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,286586,2,285048,0,gameplay-adaptive,283048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,289603,2,288065,0,gameplay-adaptive,286065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,292586,2,291048,0,gameplay-adaptive,289048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,295586,2,294048,0,gameplay-adaptive,292048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33,TRUE,K_b
,,298603,2,297065,0,gameplay-adaptive,295065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,301586,2,300048,0,gameplay-adaptive,298048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,,,,,,,,,,,,,Mean RT,44.64,,
,,,,,,,,,,,,,,SD RT,8.433363277,,
