subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,235510,2,234073,0,gameplay-adaptive,232073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,238502,2,237065,0,gameplay-adaptive,235065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,241510,2,240073,0,gameplay-adaptive,238073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,244504,2,243067,0,gameplay-adaptive,241067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,247528,2,246091,0,gameplay-adaptive,244091,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,250504,2,249067,0,gameplay-adaptive,247067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,253513,2,252076,0,gameplay-adaptive,250076,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,256505,2,255068,0,gameplay-adaptive,253068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,259530,2,258093,0,gameplay-adaptive,256093,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,262507,2,261070,0,gameplay-adaptive,259070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,265516,2,264079,0,gameplay-adaptive,262079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,268524,2,267087,0,gameplay-adaptive,265087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,271501,2,270064,0,gameplay-adaptive,268064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,274510,2,273073,0,gameplay-adaptive,271073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,277502,2,276065,0,gameplay-adaptive,274065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,280526,2,279089,0,gameplay-adaptive,277089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,283518,2,282081,0,gameplay-adaptive,280081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,286510,2,285073,0,gameplay-adaptive,283073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,289502,2,288065,0,gameplay-adaptive,286065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,292526,2,291089,0,gameplay-adaptive,289089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,295502,2,294065,0,gameplay-adaptive,292065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,298510,2,297073,0,gameplay-adaptive,295073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,301518,2,300081,0,gameplay-adaptive,298081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,,,,,,,,,,,,,Mean RT,68.64
,,,,,,,,,,,,,,SD RT,7.29676834515309
