subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,241875,2,240070,0,gameplay-adaptive,238070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,244883,2,243078,0,gameplay-adaptive,241078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,247875,2,246070,0,gameplay-adaptive,244070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,250883,2,249078,0,gameplay-adaptive,247078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,253875,2,252070,0,gameplay-adaptive,250070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,256883,2,255078,0,gameplay-adaptive,253078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,259875,2,258070,0,gameplay-adaptive,256070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,262883,2,261078,0,gameplay-adaptive,259078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,265875,2,264070,0,gameplay-adaptive,262070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,268883,2,267078,0,gameplay-adaptive,265078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,271891,2,270086,0,gameplay-adaptive,268086,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,274883,2,273078,0,gameplay-adaptive,271078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,277875,2,276070,0,gameplay-adaptive,274070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,280899,2,279094,0,gameplay-adaptive,277094,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,283891,2,282086,0,gameplay-adaptive,280086,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,286883,2,285078,0,gameplay-adaptive,283078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,289891,2,288086,0,gameplay-adaptive,286086,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,292883,2,291078,0,gameplay-adaptive,289078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,295876,2,294071,0,gameplay-adaptive,292071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,298884,2,297079,0,gameplay-adaptive,295079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,301876,2,300071,0,gameplay-adaptive,298071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,,,,,,,,,,,,,Mean RT,66.57,,
,,,,,,,,,,,,,,SD RT,5.919075480635,,
